Date,Close
02-01-2014,556
03-01-2014,551.95
04-01-2014,NaN
05-01-2014,NaN
06-01-2014,558.1
07-01-2014,568.86
08-01-2014,570.04
09-01-2014,564.55
10-01-2014,564.52
11-01-2014,NaN
12-01-2014,NaN
13-01-2014,560.93
14-01-2014,574.13
15-01-2014,573.74
16-01-2014,577.53
17-01-2014,574.69
18-01-2014,NaN
19-01-2014,NaN
20-01-2014,NaN
21-01-2014,581.27
22-01-2014,581.93
23-01-2014,579.47
24-01-2014,561.35
25-01-2014,NaN
26-01-2014,NaN
27-01-2014,550.06
28-01-2014,560.94
29-01-2014,552.91
30-01-2014,567.13
31-01-2014,589.89
01-02-2014,NaN
02-02-2014,NaN
03-02-2014,566.15
04-02-2014,568.51
05-02-2014,571.03
06-02-2014,579.4
07-02-2014,588.13
08-02-2014,NaN
09-02-2014,NaN
10-02-2014,585.88
11-02-2014,594.49
12-02-2014,592.75
13-02-2014,599.35
14-02-2014,600.8
15-02-2014,NaN
16-02-2014,NaN
17-02-2014,NaN
18-02-2014,604.83
19-02-2014,600.57
20-02-2014,601.45
21-02-2014,601.29
22-02-2014,NaN
23-02-2014,NaN
24-02-2014,605.65
25-02-2014,609.39
26-02-2014,609.47
27-02-2014,609
28-02-2014,607.22
01-03-2014,NaN
02-03-2014,NaN
03-03-2014,600.74
04-03-2014,606.85
05-03-2014,608.52
06-03-2014,609.2
07-03-2014,606.79
08-03-2014,NaN
09-03-2014,NaN
10-03-2014,605.18
11-03-2014,599.4
12-03-2014,603.05
13-03-2014,593.94
14-03-2014,585.81
15-03-2014,NaN
16-03-2014,NaN
17-03-2014,595.45
18-03-2014,605.02
19-03-2014,599.03
20-03-2014,597.98
21-03-2014,590.93
22-03-2014,NaN
23-03-2014,NaN
24-03-2014,578.39
25-03-2014,578.78
26-03-2014,565.42
27-03-2014,556.58
28-03-2014,559.51
29-03-2014,NaN
30-03-2014,NaN
31-03-2014,556.7
01-04-2014,566.88
02-04-2014,566.98
03-04-2014,569.74
04-04-2014,543.14
05-04-2014,NaN
06-04-2014,NaN
07-04-2014,538.15
08-04-2014,554.9
09-04-2014,564.14
10-04-2014,540.95
11-04-2014,530.6
12-04-2014,NaN
13-04-2014,NaN
14-04-2014,532.52
15-04-2014,536.44
16-04-2014,556.54
17-04-2014,536.1
18-04-2014,NaN
19-04-2014,NaN
20-04-2014,NaN
21-04-2014,528.62
22-04-2014,534.81
23-04-2014,526.94
24-04-2014,525.16
25-04-2014,516.18
26-04-2014,NaN
27-04-2014,NaN
28-04-2014,517.15
29-04-2014,527.7
30-04-2014,526.66
01-05-2014,531.35
02-05-2014,527.93
03-05-2014,NaN
04-05-2014,NaN
05-05-2014,527.81
06-05-2014,515.14
07-05-2014,509.96
08-05-2014,511
09-05-2014,518.73
10-05-2014,NaN
11-05-2014,NaN
12-05-2014,529.92
13-05-2014,533.09
14-05-2014,526.65
15-05-2014,519.98
16-05-2014,520.63
17-05-2014,NaN
18-05-2014,NaN
19-05-2014,528.86
20-05-2014,529.77
21-05-2014,538.94
22-05-2014,545.06
23-05-2014,552.7
24-05-2014,NaN
25-05-2014,NaN
26-05-2014,NaN
27-05-2014,565.95
28-05-2014,561.68
29-05-2014,560.08
30-05-2014,559.89
31-05-2014,NaN
01-06-2014,NaN
02-06-2014,553.93
03-06-2014,544.94
04-06-2014,544.66
05-06-2014,553.9
06-06-2014,556.33
07-06-2014,NaN
08-06-2014,NaN
09-06-2014,562.12
10-06-2014,560.55
11-06-2014,558.84
12-06-2014,551.35
13-06-2014,551.76
14-06-2014,NaN
15-06-2014,NaN
16-06-2014,544.28
17-06-2014,543.01
18-06-2014,553.37
19-06-2014,554.9
20-06-2014,556.36
21-06-2014,NaN
22-06-2014,NaN
23-06-2014,564.95
24-06-2014,564.62
25-06-2014,578.65
26-06-2014,576
27-06-2014,577.24
28-06-2014,NaN
29-06-2014,NaN
30-06-2014,575.28
01-07-2014,582.67
02-07-2014,582.34
03-07-2014,584.73
04-07-2014,NaN
05-07-2014,NaN
06-07-2014,NaN
07-07-2014,582.25
08-07-2014,571.09
09-07-2014,576.08
10-07-2014,571.1
11-07-2014,579.18
12-07-2014,NaN
13-07-2014,NaN
14-07-2014,584.87
15-07-2014,584.78
16-07-2014,582.66
17-07-2014,573.73
18-07-2014,595.08
19-07-2014,NaN
20-07-2014,NaN
21-07-2014,589.47
22-07-2014,594.74
23-07-2014,595.98
24-07-2014,593.35
25-07-2014,589.02
26-07-2014,NaN
27-07-2014,NaN
28-07-2014,590.6
29-07-2014,585.61
30-07-2014,587.42
31-07-2014,571.6
01-08-2014,566.07
02-08-2014,NaN
03-08-2014,NaN
04-08-2014,573.15
05-08-2014,565.07
06-08-2014,566.37
07-08-2014,563.36
08-08-2014,568.77
09-08-2014,NaN
10-08-2014,NaN
11-08-2014,567.88
12-08-2014,562.73
13-08-2014,574.78
14-08-2014,574.65
15-08-2014,573.48
16-08-2014,NaN
17-08-2014,NaN
18-08-2014,582.16
19-08-2014,586.86
20-08-2014,584.49
21-08-2014,583.37
22-08-2014,582.56
23-08-2014,NaN
24-08-2014,NaN
25-08-2014,580.2
26-08-2014,577.86
27-08-2014,571
28-08-2014,569.2
29-08-2014,571.6
30-08-2014,NaN
31-08-2014,NaN
01-09-2014,NaN
02-09-2014,577.33
03-09-2014,577.94
04-09-2014,581.98
05-09-2014,586.08
06-09-2014,NaN
07-09-2014,NaN
08-09-2014,589.72
09-09-2014,581.01
10-09-2014,583.1
11-09-2014,581.35
12-09-2014,575.62
13-09-2014,NaN
14-09-2014,NaN
15-09-2014,573.1
16-09-2014,579.95
17-09-2014,584.77
18-09-2014,589.27
19-09-2014,596.08
20-09-2014,NaN
21-09-2014,NaN
22-09-2014,587.37
23-09-2014,581.13
24-09-2014,587.99
25-09-2014,575.06
26-09-2014,577.1
27-09-2014,NaN
28-09-2014,NaN
29-09-2014,576.36
30-09-2014,577.36
01-10-2014,568.27
02-10-2014,570.08
03-10-2014,575.28
04-10-2014,NaN
05-10-2014,NaN
06-10-2014,577.35
07-10-2014,563.74
08-10-2014,572.5
09-10-2014,560.88
10-10-2014,544.49
11-10-2014,NaN
12-10-2014,NaN
13-10-2014,533.21
14-10-2014,537.94
15-10-2014,530.03
16-10-2014,524.51
17-10-2014,511.17
18-10-2014,NaN
19-10-2014,NaN
20-10-2014,520.84
21-10-2014,526.54
22-10-2014,532.71
23-10-2014,543.98
24-10-2014,539.78
25-10-2014,NaN
26-10-2014,NaN
27-10-2014,540.77
28-10-2014,548.9
29-10-2014,549.33
30-10-2014,550.31
31-10-2014,559.08
