Title,Release Year,Color/B&W,Genre,Language,Country
21 Jump Street,2012,Color,Action,English,USA
A Thousand Words,2012,Color,Comedy,English,USA
Abraham Lincoln: Vampire Hunter,2012,Color,Action,English,USA
Act of Valor,2012,Color,Action,English,USA
Alex Cross,2012,Color,Action,English,USA
American Reunion,2012,Color,Comedy,English,USA
Amour,2012,Color,Drama,French,France
Arbitrage,2012,Color,Drama,English,USA
Atlas Shrugged II: The Strike,2012,Color,Drama,English,USA
Bachelorette,2012,Color,Comedy,English,USA
Battleship,2012,Color,Action,English,USA
Beasts of the Southern Wild,2012,Color,Drama,English,USA
Blue Like Jazz,2012,Color,Comedy,English,USA
Brave,2012,Color,Adventure,English,USA
Bullet to the Head,2012,Color,Action,English,USA
Casa de mi Padre,2012,Color,Comedy,Spanish,USA
Chronicle,2012,Color,Drama,English,USA
Cloud Atlas,2012,Color,Drama,English,Germany
Contraband,2012,Color,Action,English,USA
Dark Shadows,2012,Color,Comedy,English,USA
Detention of the Dead,2012,Color,Comedy,English,USA
Diary of a Wimpy Kid: Dog Days,2012,Color,Comedy,English,USA
Django Unchained,2012,Color,Drama,English,USA
Dredd,2012,Color,Action,English,UK
Ernest & Celestine,2012,Color,Animation,French,France
Filly Brown,2012,Color,Drama,English,USA
Flight,2012,Color,Drama,English,USA
"For a Good Time, Call...",2012,Color,Comedy,English,USA
Frankenweenie,2012,Black and White,Animation,English,USA
Fun Size,2012,Color,Adventure,English,USA
Hardflip,2012,Color,Action,English,USA
Here Comes the Boom,2012,Color,Action,English,USA
Hit and Run,2012,Color,Action,English,USA
Hope Springs,2012,Color,Comedy,English,USA
Hotel Transylvania,2012,Color,Animation,English,USA
Ice Age: Continental Drift,2012,Color,Adventure,English,USA
Jack Reacher,2012,Color,Action,English,USA
John Carter,2012,Color,Action,English,USA
Journey 2: The Mysterious Island,2012,Color,Action,English,USA
Joyful Noise,2012,Color,Comedy,English,USA
Les Misérables,2012,Color,Drama,English,USA
Life of Pi,2012,Color,Adventure,English,USA
Lockout,2012,Color,Action,English,France
Looper,2012,Color,Action,English,USA
Madagascar 3: Europe's Most Wanted,2012,Color,Adventure,English,USA
Madea's Witness Protection,2012,Color,Comedy,English,USA
Magic Mike,2012,Color,Comedy,English,USA
Man on a Ledge,2012,Color,Action,English,USA
Men in Black 3,2012,Color,Action,English,USA
Middle of Nowhere,2012,Color,Drama,English,USA
Mirror Mirror,2012,Color,Adventure,English,USA
Moonrise Kingdom,2012,Color,Adventure,English,USA
Mud,2012,Color,Drama,English,USA
On the Road,2012,Color,Adventure,English,France
One for the Money,2012,Color,Action,English,USA
ParaNorman,2012,Color,Adventure,English,USA
Parental Guidance,2012,Color,Comedy,English,USA
Pitch Perfect,2012,Color,Comedy,English,USA
Playing for Keeps,2012,Color,Comedy,English,USA
Premium Rush,2012,Color,Action,English,USA
Project X,2012,Color,Comedy,English,USA
Prometheus,2012,Color,Adventure,English,USA
Promised Land,2012,Color,Drama,English,USA
Quartet,2012,Color,Comedy,English,UK
Red Tails,2012,Color,Action,English,USA
Resident Evil: Retribution,2012,Color,Action,English,Germany
Rise of the Guardians,2012,Color,Adventure,English,USA
Robot & Frank,2012,Color,Comedy,English,USA
Rock of Ages,2012,Color,Comedy,English,USA
Safe,2012,Color,Action,English,USA
Safe House,2012,Color,Action,English,USA
Safety Not Guaranteed,2012,Color,Comedy,English,USA
Seeking a Friend for the End of the World,2012,Black and White,Adventure,English,USA
Seven Psychopaths,2012,Color,Comedy,English,UK
Silent Hill: Revelation 3D,2012,Color,Adventure,English,France
Silver Linings Playbook,2012,Color,Comedy,English,USA
Skyfall,2012,Color,Action,English,UK
Snow White and the Huntsman,2012,Color,Action,English,USA
Sparkle,2012,Color,Drama,English,USA
Step Up Revolution,2012,Color,Drama,English,USA
Stolen,2012,Color,Action,English,USA
Taken 2,2012,Color,Action,English,France
Ted,2012,Color,Comedy,English,USA
That's My Boy,2012,Color,Comedy,English,USA
The Amazing Spider-Man,2012,Color,Action,English,USA
The Avengers,2012,Color,Action,English,USA
The Bourne Legacy,2012,Color,Action,English,USA
The Brass Teapot,2012,Color,Comedy,English,USA
The Campaign,2012,Color,Comedy,English,USA
The Cold Light of Day,2012,Color,Action,English,USA
The Collection,2012,Color,Action,English,USA
The Dark Knight Rises,2012,Color,Action,English,USA
The Dictator,2012,Color,Comedy,English,USA
The Expendables 2,2012,Color,Action,English,USA
The Five-Year Engagement,2012,Color,Comedy,English,USA
The Ghastly Love of Johnny X,2012,Black and White,Comedy,English,USA
The Guilt Trip,2012,Color,Comedy,English,USA
The Hobbit: An Unexpected Journey,2012,Color,Adventure,English,USA
The Hunger Games,2012,Color,Adventure,English,USA
The Lords of Salem,2012,Color,Drama,English,USA
The Lucky One,2012,Color,Drama,English,USA
The Man with the Iron Fists,2012,Color,Action,English,USA
The Master,2012,Color,Drama,English,USA
The Odd Life of Timothy Green,2012,Color,Comedy,English,USA
The Oogieloves in the Big Balloon Adventure,2012,Color,Adventure,English,USA
The Perks of Being a Wallflower,2012,Color,Drama,English,USA
The Pirates! Band of Misfits,2012,Color,Adventure,English,UK
The Sweeney,2012,Color,Action,English,UK
The Twilight Saga: Breaking Dawn - Part 2,2012,Color,Adventure,English,USA
The Vow,2012,Color,Drama,English,USA
The Watch,2012,Color,Action,English,USA
The Woman in Black,2012,Color,Drama,English,UK
The Words,2012,Color,Drama,English,USA
Think Like a Man,2012,Color,Comedy,English,USA
This Is 40,2012,Color,Comedy,English,USA
This Means War,2012,Color,Action,English,USA
Tim and Eric's Billion Dollar Movie,2012,Color,Comedy,English,USA
To Rome with Love,2012,Color,Comedy,English,USA
Underworld: Awakening,2012,Color,Action,English,USA
Vamps,2012,Color,Comedy,English,USA
What to Expect When You're Expecting,2012,Color,Comedy,English,USA
Wrath of the Titans,2012,Color,Action,English,USA
Wreck-It Ralph,2012,Color,Adventure,English,USA
Zero Dark Thirty,2012,Color,Drama,English,USA
2 Guns,2013,Color,Action,English,USA
21 & Over,2013,Color,Comedy,English,USA
47 Ronin,2013,Color,Action,English,USA
A Good Day to Die Hard,2013,Color,Action,English,USA
A Haunted House,2013,Color,Comedy,English,USA
A Madea Christmas,2013,Color,Comedy,English,USA
About Time,2013,Color,Drama,English,UK
Admission,2013,Color,Comedy,English,USA
Adore,2013,Color,Drama,English,Australia
After Earth,2013,Color,Action,English,USA
All Is Lost,2013,Color,Action,English,USA
Anchorman 2: The Legend Continues,2013,Color,Comedy,English,USA
August: Osage County,2013,Color,Drama,English,USA
Bad Grandpa,2013,Color,Comedy,English,USA
Bad Words,2013,Color,Comedy,English,USA
Baggage Claim,2013,Color,Comedy,English,USA
Battle of the Year,2013,Color,Drama,English,USA
Beautiful Creatures,2013,Color,Drama,English,USA
Before Midnight,2013,Color,Drama,English,USA
Begin Again,2013,Color,Drama,English,USA
Black Nativity,2013,Color,Drama,English,USA
Blue Jasmine,2013,Color,Drama,English,USA
Carrie,2013,Color,Drama,English,USA
Cheap Thrills,2013,Color,Comedy,English,USA
Cloudy with a Chance of Meatballs 2,2013,Color,Animation,English,USA
Dead Man Down,2013,Color,Action,English,USA
Delivery Man,2013,Color,Comedy,English,USA
Despicable Me 2,2013,Color,Animation,English,USA
Don Jon,2013,Color,Comedy,English,USA
Elysium,2013,Color,Action,English,USA
Ender's Game,2013,Color,Action,English,USA
Enough Said,2013,Color,Comedy,English,USA
Epic,2013,Color,Adventure,English,USA
Escape from Planet Earth,2013,Color,Adventure,English,USA
Escape Plan,2013,Color,Action,English,USA
Free Birds,2013,Color,Adventure,English,USA
Frozen,2013,Color,Adventure,English,USA
G.I. Joe: Retaliation,2013,Color,Action,English,USA
Gangster Squad,2013,Color,Action,English,USA
Getaway,2013,Color,Action,English,USA
Gravity,2013,Color,Adventure,English,UK
Grown Ups 2,2013,Color,Comedy,English,USA
Grudge Match,2013,Color,Comedy,English,USA
Hansel & Gretel: Witch Hunters,2013,Color,Action,English,Germany
Her,2013,Color,Drama,English,USA
Home Run,2013,Color,Drama,English,USA
Homefront,2013,Color,Action,English,USA
Identity Thief,2013,Color,Comedy,English,USA
Inside Llewyn Davis,2013,Color,Drama,English,USA
Iron Man 3,2013,Color,Action,English,USA
Jack the Giant Slayer,2013,Color,Adventure,English,USA
Joe,2013,Color,Drama,English,USA
Kevin Hart: Let Me Explain,2013,Color,Comedy,English,USA
Kick-Ass 2,2013,Color,Action,English,USA
Labor Day,2013,Color,Drama,English,USA
Last Vegas,2013,Color,Comedy,English,USA
Legends of Oz: Dorothy's Return,2013,Color,Adventure,English,USA
Lone Survivor,2013,Color,Action,English,USA
Man of Steel,2013,Color,Action,English,USA
