date,AAPL,MSFT
03-01-2007,11.97,29.86
04-01-2007,12.24,29.81
05-01-2007,12.15,29.64
08-01-2007,12.21,29.93
09-01-2007,13.22,29.96
10-01-2007,13.86,29.66
11-01-2007,13.69,30.7
12-01-2007,13.52,31.21
16-01-2007,13.87,31.16
17-01-2007,13.56,31.1
18-01-2007,12.72,31
19-01-2007,12.64,31.11
22-01-2007,12.4,30.72
23-01-2007,12.24,30.74
24-01-2007,12.39,31.09
25-01-2007,12.32,30.45
26-01-2007,12.2,30.6
29-01-2007,12.28,30.53
30-01-2007,12.22,30.48
31-01-2007,12.25,30.86
01-02-2007,12.11,30.56
02-02-2007,12.11,30.19
05-02-2007,11.99,29.61
06-02-2007,12.02,29.51
07-02-2007,12.31,29.37
08-02-2007,12.31,29.26
09-02-2007,11.9,28.98
12-02-2007,12.13,28.94
13-02-2007,12.09,29.03
14-02-2007,12.19,29.4
15-02-2007,12.17,29.46
16-02-2007,12.12,28.74
20-02-2007,12.27,28.83
21-02-2007,12.74,29.35
22-02-2007,12.79,29.39
23-02-2007,12.72,28.9
26-02-2007,12.66,29.07
27-02-2007,11.99,27.87
28-02-2007,12.09,28.17
01-03-2007,12.44,28.09
02-03-2007,12.2,27.76
05-03-2007,12.33,27.55
06-03-2007,12.6,27.83
07-03-2007,12.53,27.61
08-03-2007,12.57,27.32
09-03-2007,12.57,27.29
12-03-2007,12.84,27.44
13-03-2007,12.63,26.72
14-03-2007,12.86,27.4
15-03-2007,12.8,27.28
16-03-2007,12.8,27.33
19-03-2007,13.02,27.83
20-03-2007,13.07,27.84
21-03-2007,13.41,28.52
22-03-2007,13.42,28.27
23-03-2007,13.36,28.02
26-03-2007,13.69,28.22
27-03-2007,13.64,27.72
28-03-2007,13.32,27.64
29-03-2007,13.39,27.75
30-03-2007,13.27,27.87
02-04-2007,13.38,27.74
03-04-2007,13.5,27.87
04-04-2007,13.47,28.5
05-04-2007,13.53,28.55
09-04-2007,13.38,28.57
10-04-2007,13.46,28.4
11-04-2007,13.23,28.11
12-04-2007,13.17,28.54
13-04-2007,12.89,28.61
16-04-2007,13.06,28.73
17-04-2007,12.91,28.85
18-04-2007,12.91,28.6
19-04-2007,12.9,28.69
20-04-2007,13,29.02
23-04-2007,13.36,28.78
24-04-2007,13.32,28.79
25-04-2007,13.62,28.99
26-04-2007,14.12,29.1
27-04-2007,14.27,30.12
30-04-2007,14.26,29.94
01-05-2007,14.21,30.4
02-05-2007,14.34,30.61
03-05-2007,14.34,30.97
04-05-2007,14.4,30.56
07-05-2007,14.85,30.71
08-05-2007,15.01,30.75
09-05-2007,15.27,30.78
10-05-2007,15.33,30.58
11-05-2007,15.53,30.89
14-05-2007,15.62,30.97
15-05-2007,15.36,30.9
16-05-2007,15.33,31.07
17-05-2007,15.63,30.98
18-05-2007,15.72,30.83
21-05-2007,16,31.05
22-05-2007,16.22,30.69
23-05-2007,16.13,30.58
24-05-2007,15.81,30.17
25-05-2007,16.23,30.48
29-05-2007,16.34,30.79
30-05-2007,16.97,31.11
31-05-2007,17.31,30.69
01-06-2007,16.91,30.59
04-06-2007,17.33,30.72
05-06-2007,17.52,30.58
06-06-2007,17.66,30.29
07-06-2007,17.72,29.62
08-06-2007,17.78,30.05
11-06-2007,17.17,30.02
12-06-2007,17.2,29.85
13-06-2007,16.79,30.39
14-06-2007,16.96,30.52
15-06-2007,17.21,30.49
18-06-2007,17.87,30.51
19-06-2007,17.67,30.46
20-06-2007,17.36,30.01
21-06-2007,17.7,30.22
22-06-2007,17.57,29.49
25-06-2007,17.48,29.49
26-06-2007,17.09,29.52
27-06-2007,17.41,29.87
28-06-2007,17.22,29.83
29-06-2007,17.43,29.47
02-07-2007,17.32,29.74
03-07-2007,18.17,30.02
05-07-2007,18.96,29.99
06-07-2007,18.9,29.97
09-07-2007,18.62,29.87
10-07-2007,18.91,29.33
11-07-2007,18.91,29.49
12-07-2007,19.15,30.07
