date,ozone,pm25,co
01-07-1999,0.012024,20,1.300686
02-07-1999,0.027699,23.9,0.958194
03-07-1999,0.043969,36.7,1.194444
04-07-1999,0.035162,39,1.081548
05-07-1999,0.038359,28.171429,0.939583
06-07-1999,0.051271,31.8,1.066146
08-07-1999,0.029166,9.083333,0.896572
09-07-1999,0.038955,18.3,1.045126
10-07-1999,0.034542,17.6,0.908036
11-07-1999,0.023297,3.6,0.688691
13-07-1999,0.024181,5.9,0.77883
20-07-1999,0.025054,11.9,1.06107
23-07-1999,0.036292,12.65,1.264844
26-07-1999,0.044548,18.82,1.003646
29-07-1999,0.038595,24.02,1.420845
31-07-1999,0.052351,36.2,1.050917
01-08-1999,0.041464,21.328571,0.952604
02-08-1999,0.032966,12,0.919137
03-08-1999,0.034811,9.6,0.816316
04-08-1999,0.033443,14.185714,0.900062
05-08-1999,0.028333,19.2,1.096046
06-08-1999,0.037589,14.5,1.023319
07-08-1999,0.047536,10.316667,0.861979
08-08-1999,0.045191,33.6,0.933594
10-08-1999,0.026017,7.942857,0.895455
13-08-1999,0.026026,21.155556,1.104734
14-08-1999,0.038786,17.1,1.111719
15-08-1999,0.016048,10.7,0.984635
16-08-1999,0.023909,11.2375,1.06293
17-08-1999,0.033345,32.6,1.118944
18-08-1999,0.030754,25.7,1.114006
19-08-1999,0.022983,8.085714,0.942708
21-08-1999,0.013149,5.3,0.921354
22-08-1999,0.012447,5.6,0.966927
23-08-1999,0.020809,12.8,1.26594
25-08-1999,0.032749,13.81,1.097254
26-08-1999,0.01628,12.7,1.213612
27-08-1999,0.027792,18.9,1.24763
28-08-1999,0.036411,32.009091,1.072656
29-08-1999,0.033643,26.8,0.86901
30-08-1999,0.010583,4.6,0.714607
31-08-1999,0.019748,6.642857,0.842132
01-09-1999,0.017452,5.8,0.909788
02-09-1999,0.014589,9.7,1.26404
03-09-1999,0.008657,12.288889,1.704516
04-09-1999,0.010678,11.9,1.255729
06-09-1999,0.016976,7.4,0.866406
09-09-1999,0.021071,33.78,1.431946
11-09-1999,0.025446,16.7,1.222135
12-09-1999,0.029833,12.35,1.099219
13-09-1999,0.028145,13.6,1.216761
14-09-1999,0.018567,16.9,1.440939
15-09-1999,0.008851,19.38,1.529285
16-09-1999,0.017808,5.8,0.835559
17-09-1999,0.015369,4.4,0.847988
