date,JNJ,JPM,XOM
04-01-2010,64.68,42.85,69.15
05-01-2010,63.93,43.68,69.42
06-01-2010,64.45,43.92,70.02
07-01-2010,63.99,44.79,69.8
08-01-2010,64.21,44.68,69.52
11-01-2010,64.22,44.53,70.3
12-01-2010,64.56,43.49,69.95
13-01-2010,64.97,44.25,69.67
14-01-2010,65.1,44.69,69.68
15-01-2010,64.56,43.68,69.11
19-01-2010,65.35,43.28,69.27
20-01-2010,65.15,43.4,68.03
21-01-2010,63.97,40.54,66.7
22-01-2010,63.2,39.16,66.1
25-01-2010,63.22,39.21,65.85
26-01-2010,62.79,38.44,65.92
27-01-2010,63.44,39.33,65.54
28-01-2010,63.8,39.48,64.96
29-01-2010,62.86,38.94,64.43
01-02-2010,63.09,39.63,66.18
02-02-2010,63.99,40.55,66.96
03-02-2010,63.63,40.29,66.6
04-02-2010,62.64,38.35,64.72
05-02-2010,62.64,38.3,64.8
08-02-2010,62.37,37.7,64.35
09-02-2010,62.76,38.39,65.2
10-02-2010,62.73,38.87,64.85
11-02-2010,62.91,39.02,65.24
12-02-2010,62.72,38.95,64.8
16-02-2010,63.61,40.07,66.28
17-02-2010,63.98,40.04,65.76
18-02-2010,64.53,40.41,65.96
19-02-2010,63.81,40.03,65.87
22-02-2010,63.49,40.85,65.4
23-02-2010,63.31,39.88,64.94
24-02-2010,63.45,40.85,65.55
25-02-2010,63.28,40.64,65.14
26-02-2010,63,41.97,65
01-03-2010,63.39,41.83,65.4
02-03-2010,63.44,41.62,65.49
03-03-2010,63.4,41.53,65.43
04-03-2010,63.57,41.92,65.4
05-03-2010,64.04,42.81,66.47
08-03-2010,64.2,42.59,66.48
09-03-2010,64.27,42.42,66.78
10-03-2010,64.29,42.93,67.22
11-03-2010,64.22,43.18,67.22
12-03-2010,64.18,43.15,66.8
15-03-2010,64.57,43.07,66.3
16-03-2010,64.53,43.24,66.57
17-03-2010,64.65,43.79,67.36
18-03-2010,65.06,43.64,67.39
19-03-2010,65.11,43.45,67.04
22-03-2010,65.1,43.74,66.97
23-03-2010,65.36,44.58,66.95
24-03-2010,64.75,44.94,66.5
25-03-2010,64.57,44.94,66.3
26-03-2010,64.38,45.02,66.54
29-03-2010,64.82,44.86,67.3
30-03-2010,64.9,44.58,67.05
31-03-2010,65.2,44.75,66.98
01-04-2010,65.77,45.18,67.61
05-04-2010,65.4,45.34,68.19
06-04-2010,65.31,45.84,67.9
07-04-2010,65.22,45.32,67.34
08-04-2010,64.93,45.76,67.86
09-04-2010,65.14,45.98,68.76
12-04-2010,65.11,46.14,68.71
